"lemma"	"id"	"def"	"pl"
"jaya"	"87781"	"conquest ; victory ; triumph ; winning ; being victorious (in battle or in playing with dice or in a lawsuit) ; (parox.) name of particular verses causing victory (personified as deities) ; Premna spinosa ; a yellow variety of Phaseolus Mungo ; name of the 3rd year of the 6th lustrum of the Bṛhaspati cycle ; a kind of flute ; (in music) a kind of measure ; the sun ; Arjuna ; Indra ; name of a Ṛṣi ; name of a spirit ; name of an attendant of Viṣṇu ; name of a Nāga ; name of a Dānava ; name of a son of Dhṛtarāṣṭra ; name of an ancient king (11th Cakravartin in Bhārata ) ; name of Yudhiṣṭhira at Virāṭa's court ; name of Aśoka in a former birth ; name of a carpenter ; Premna longifolia ; name of a Tīrtha at the Narmadā ; [gramm.] the word jaya ; name of a son of Vatsara and Svarvīthi"	"X"
"vadha"	"167152"	"murder ; slaughter ; killing ; [alchemy] = māraṇa (?) ; capital punishment ; name of a Rākṣasa ; [gramm.] substitute vadha- (for han-)"	"X"
"vā"	"75765"	"either - or ; on the one side - on the other side ; optionally"	"X"
"abhimukha"	"22470"	"with the face directed towards ; facing"	"X"
"raṇa"	"66051"	"delight ; pleasure ; gladness ; joy ; battle (as an object of delight) ; war ; combat ; fight ; conflict"	"X"
"abhiyā"	"158896"	"to go up to in a hostile manner ; to attack ; to assail ; to go up to ; to approach ; to obtain ; to devote one's self to take up"	"X"
"durdharṣa"	"85556"	"difficult to be assaulted or laid hold of ; inviolable ; inaccessible ; unconquerable ; dangerous ; dreadful ; haughty ; distant"	"X"
"dhārtarāṣṭra"	"42594"	"a son of Dhṛtarāṣṭra ; a Kuru ; patr. of Duryodhana ; a kind of snake ; a sort of goose with black legs and bill"	"X"
"vāhinī"	"47161"	"an army ; host ; body of forces ; a particular division of an army (consisting of 3 Gaṇas) ; a river ; a channel ; name of the wife of Kuru"	"X"
"prāñc"	"166382"	"directed forwards ; being in front ; facing ; eastern ; easterly ; running from west to east ; inclined ; prior ; former"	"X"
"mukha"	"136827"	"the mouth ; face ; countenance ; the beak of a bird ; snout or muzzle of an animal ; a direction ; quarter ; the mouth or spout of a vessel ; opening aperture ; entrance into or egress out of (gen. or comp.) ; the mouth or embouchure (of a river) ; the fore part ; front ; van (of an army) ; the upper part ; head ; top ; tip or point of anything ; the edge (of an axe) ; the nipple (of a breast) ; the surface ; upper side ; the chief ; principal ; best ; introduction ; commencement ; beginning ; source ; cause ; occasion of (gen. or comp.) ; (in dram.) the original cause or source of the action ; (in alg.) the first term or initial quantity of a progression ; (in geom.) the side opposite to the base ; the summit ; the Veda ; rock salt ; copper ; [alchemy] a kind of jāraṇā ; [min.] (bei kānta: Polarit￤t?)"	"X"
"paścima"	"166913"	"western"	"X"
"bhāga"	"49485"	"a part ; portion ; share ; allotment ; inheritance ; fortunate lot ; good fortune ; luck ; a part (as opp. to any whole) ; a fraction (often with an ordinal number) ; a quarter ; part i.e. place ; spot ; region ; part of anything given as interest ; a half rupee ; the numerator of a fraction ; a quotient ; a degree or 360th part of the circumference of a great circle ; a division of time ; the 30th part of a Rāśi or zodiacal sign ; name of a king ; name of a river (one of the branches of the Candrabhāgā)"	"X"
"niviś"	"161475"	"to enter or penetrate into (acc. or loc.) ; to alight ; to descend ; to come to rest ; to settle down or in a home ; to encamp ; to sit down upon ; to resort to (acc.) ; to settle ; to take a wife ; to be founded (said of a town) ; to be fixed or intent on ; to sink down ; to cease ; to disappear ; to vanish"	"X"
"sa"	"202954"	"(ibc.) with"	"X"
"sainika"	"99902"	"an army-man ; soldier ; guard ; sentinel ; a body of forces in array ; name of a son of Śambara"	"X"
"samantapañcaka"	"29476"	"name of the district Kurukṣetra ; name of a Tīrtha in Kurukṣetra where Paraśurāma is said to have destroyed the Kṣatriyas"	"X"
"bāhya"	"148892"	"being outside (a door) ; situated without (abl. or comp.) ; outer ; exterior ; not belonging to the family or country ; strange ; foreign ; excluded from caste or the community ; an out-caste ; diverging from ; conflicting with ; opposed to ; having nothing to do with (abl. or comp.) ; meaning external to  the sounds or letters forming a word"	"X"
"śibira"	"132616"	"a royal camp or residence ; tent in a royal camp ; any tent ; an entrenchment for the protection of an army ; a sort of grain ; a town near to the border of an enemy prince"	"X"
"sahasraśas"	"111554"	"by thousands"	"X"
"kāray"	"157688"	"to make someone do something ; to put"	"X"
"vidhivat"	"121540"	"according to rule ; duly"	"X"
"kuntī"	"24419"	"name of Pṛthā ; name of a Rākṣasī ; name of a river ; the wife of a Brāhman ; the plant Boswellia thurifera ; a fragrant resin ; Stereospermum suaveolens D.C."	"X"
"putra"	"144475"	"a son ; child ; a species of small venomous animal ; (in astrol.) name of the fifth house ; name of a son of Brahmiṣṭha ; name of a son of Manu ; a Bodhisattva ; [gramm.] the word 'putra'"	"X"
"yudhiṣṭhira"	"64859"	"name of the eldest of the 5 reputed sons of Pāṇḍu ; name of a son of Kṛṣṇa ; name of two kings of Kaśmīra ; name of a potter ; name of a preceptor ; the descendants of Yudhiṣṭhira"	"X"
"śūnya"	"127178"	"empty ; void"	"X"
"iva"	"63807"	"like ; in the same manner as (in this sense = yathā) ; as it were ; as if ; in a certain manner ; in some measure ; a little ; perhaps (in qualification or mitigation of a strong assertion) ; nearly ; almost ; about ; so ; just so ; just ; exactly ; indeed ; very (especially after words which involve some restriction)"	"X"
"pṛthivī"	"150027"	"the earth or wide world ; land ; ground ; soil ; earth regarded as one of the elements"	"X"
"bāla"	"147893"	"young ; childish ; infantine ; not full-grown or developed (of per. sons and things) ; newly risen ; early (as the sun or its rays) ; new or waxing (as the moon) ; puerile ; ignorant ; simple ; foolish ; pure (as an animal fit for sacrifice) ; [alchemy]"	"X"
"vṛddha"	"142781"	"grown ; become larger or longer or stronger ; increased ; augmented ; great ; large ; grown up ; full-grown ; advanced in years ; aged ; old ; senior (often in comp. with the names of authors) ; older by ; experienced ; wise ; learned ; eminent in ; distinguished by (instr. or comp.) ; important ; exalted ; joyful ; glad ; (a vowel) increased (by Vṛddhi) ; containing (or treated as containing) ā or ai or au in the first syllable ; [alchemy]"	"X"
"avaśeṣay"	"159637"	"to leave as a remnant"	"X"
"niraśva"	"34110"	"without horses"	"X"
"puruṣa"	"144647"	"a man ; male ; human being (people) ; a person ; an officer ; a servant ; a friend ; a member of a race or generation ; the height of a man ; the pupil of the eye ; the primeval man ; the soul ; the Supreme being ; the fragrant exhalation of plants ; name of various signs of the zodiac ; Rottleria Tinctoria ; Clerodendrum Phlomoides"	"X"
"as"	"156122"	"to be ; to live ; to exist ; to be present ; to take place ; to happen ; to abide ; to dwell ; to stay ; to belong to (gen. or dat.) ; to fall to the share of ; to be equal to (dat.) ; to turn out ; to tend towards any result ; to prove"	"X"
"ratha"	"66339"	"a chariot ; car ; esp. a two-wheeled war-chariot (lighter and swifter than the anas) ; any vehicle or equipage or carriage (applied also to the vehicles of the gods) ; waggon ; cart ; a warrior ; hero ; champion ; the body ; a limb ; member ; part ; Calamus Rotang ; Dalbergia Ougeinensis ; = pauruṣa"	"X"
"kuñjara"	"24062"	"an elephant ; anything pre-eminent in its kind (generally in comp) ; the number \"eight\" (there being eight elephants of the cardinal points) ; a kind of temple ; a kind of step (in dancing to music) ; the tree Ficus religiosa ; name of a Nāga ; name of a prince (of the Sauvīraka race) ; name of a mountain ; name of a locality ; lead"	"X"
"varjay"	"157900"	"to avoid"	"X"
"yāvat"	"64536"	"as greatly as ; as far as ; as much or as many as ; as often as ; whenever ; as long as ; whilst ; as soon as ; the moment that ; until that ; till ; until"	"X"
"tap"	"157174"	"to give out heat ; to be hot ; to shine (as the sun) ; to make hot or warm ; to shine upon ; to destroy by heat ; to suffer pain ; to torment one's self ; to practise austerity"	"X"
"sūrya"	"99310"	"the sun or its deity ; a symbolical expression for the number \"twelve\" (in allusion to the sun in the 12 signs of the zodiac) ; the swallow-wort; = Calotropis gigantea Beng. ; = arka ; name of the son of Bali ; name of a Dānava ; name of an astronomer ; epithet of Śiva ; [alchemy] = sūryarasa ; [min.] = sūryakānta ; [Yoga] the right nostril"	"X"
"hi"	"109879"	"for ; because ; on account of"	"X"
"jambūdvīpa"	"87766"	""	"X"
"maṇḍala"	"27079"	"a disk ; a circle ; circumference ; ball ; the path of a heavenly body ; a halo ; a circular bandage ; a sort of cutaneous eruption or leprosy with circular spot ; a round mole or mark (caused by a finger-nail etc.) on the body ; a circular array of troops ; a particular attitude in shooting ; a district ; country (often at the end of modern names, e.g. Coro-mandal coast) ; a surrounding district or neighbouring state ; the circle of a king's near and distant neighbours ; Cocculus cordifolius ; [medic.] a kind of joint"	"X"
"tāvat"	"82069"	"so much ; so greatly ; to such an extent ; in such a number"	"X"
"eva"	"39754"	"so ; just so ; exactly so (in the sense of the later evam) ; indeed ; truly ; really (often at the beginning of a verse in conjunction with other particles) ; very ; same ; only ; even ; alone ; merely ; immediately on ; still ; already"	"X"
"samāvṛt"	"165241"	"to turn back ; to come back ; to return ; to return home (said esp. of a Brahmacārin or young Brāhman student of the Veda who has returned home after completing his studies in the house of a preceptor) ; to come near ; to approach(acc) ; to turn out well ; to succeed ; to come to nought ; to perish ; umr￼hren"	"X"
"sattama"	"9479"	"very good or right ; the best ; first ; chief of ; most virtuous ; very venerable or respectable"	"X"
"ekastha"	"39464"	"standing together ; remaining in the same place ; conjoined ; combined ; assembled ; standing in or occupying only one panel"	"X"
"varṇa"	"74430"	"a covering ; cloak ; mantle ; a cover ; lid ; outward appearance ; exterior ; form ; figure ; shape ; colour of the face ; good colour or complexion ; lustre ; beauty ; colour ; tint ; dye ; pigment ; colour = race ; species ; kind ; sort ; character ; nature ; quality ; property (applied to persons and things) ; class of men ; tribe ; order ; caste ; a letter ; sound ; vowel ; syllable ; word ; a musical sound or note ; the order or arrangement of a song or poem ; praise ; commendation ; renown ; glory ; (in alg.) an unknown magnitude or quantity ; (in arithm.) the figure \"one\" ; a co-efficient ; a kind of measure ; gold ; a religious observance ; one who wards off ; expeller ; [min.] an Indian unit of measurement for the proportion of gold in an alloy; 16 varṇas = pure gold"	"X"
"bahu"	"154412"	"much ; many ; abundant ; great in quantity"	"X"
"yojana"	"65205"	"joining ; yoking ; harnessing ; that which is yoked or harnessed ; a team ; vehicle ; course ; path ; a stage or Yojana ; instigation ; stimulation ; mental concentration ; abstraction ; directing the thoughts to one point ; the Supreme spirit of the Universe ; a finger"	"X"
"paryākram"	"202203"	""	"X"
"nadī"	"43867"	"flowing water ; a river (commonly personified as a female) ; name of 2 kinds of metre ; name of particular fem. stems ending in ī or ū ; Premna spinosa Roxb."	"X"
"śaila"	"127714"	"mountain ; name of the number \"seven\" ; a dike ; hill ; rock ; [min.] one of the mahārasas; = śilājatu ; [alchemy] the kañcuka called adri"	"X"
"vana"	"68470"	"a forest ; wood ; grove ; thicket ; quantity of lotuses or other plants growing in a thick cluster (but in older language also applied to a single tree) ; plenty ; abundance ; a foreign or distant land ; wood ; timber ; a wooden vessel or barrel (?) ; a cloud (as the vessel in the sky) ; the body of a carriage ; water ; a fountain ; spring ; abode ; Cyperus Rotundus ; a ray of light ; longing ; earnest desire"	"X"
"rājan"	"70467"	"a king ; sovereign ; prince ; chief (often applied to gods) ; a man of the royal tribe or the military caste ; a Kṣatriya ; a Yakṣa ; name of one of the 18 attendants on Sūrya (identified with a form of Guha) ; [min.] = rājāvarta"	"X"
"ṛṣabha"	"39019"	"a bull (as impregnating the flock) ; any male animal in general ; the best or most excellent of any kind or race ; the second of the seven notes of the Hindū gamut ; a kind of medicinal plant ; a particular antidote ; a particular Ekāha ; the fifteenth Kalpa ; name of several men ; name of an ape ; name of a Nāga ; name of a mountain ; name of a Tīrtha ; the inhabitants of Krauñcadvīpa ; name of a people ; name of a son of Nābhi"	"X"
"ādiś"	"159776"	"to aim at ; to have in view ; to threaten ; to hit ; to assign ; to point out ; to indicate ; to report ; to announce ; to teach ; to determine ; to specify ; to denominate ; to declare ; to foretell ; to order ; to direct ; jdn. gemahnen ; jdn. bedrohen"	"X"
"vāha"	"47129"	"the act of drawing ; riding ; driving ; flowing ; current ; a draught-animal ; horse ; bull ; ass ; any vehicle ; carriage ; conveyance ; car ; a bearer ; porter ; carrier of burdens ; air ; wind ; a measure of capacity (containing 10 Kumbhas) ; the arm ; a figurative name of the Veda"	"X"
"bhakṣya"	"48365"	"anything eaten ; food (esp. such as requires mastication)"	"X"
"bhojya"	"26166"	"anything to be enjoyed or eaten ; nourishment ; food ; the act of eating ; a meal ; a festive dinner ; a dainty ; a feast a store of provisions ; eatables"	"X"
"anuttama"	"10841"	"unsurpassed ; incomparably the best or chief ; excellent ; excessive ; not the best ; (in Gr.) not used in the uttama or first person"	"X"
"saṃjñā"	"9398"	"agreement ; mutual understanding ; harmony ; consciousness ; clear knowledge or understanding or notion or conception ; a sign ; token ; signal ; gesture ; direction ; a track ; footstep ; a name ; appellation ; title ; technical term ; (in gramm.) the name of anything thought of as standing by itself ; any noun having a special meaning (saṃjñāyām therefore denotes \"[used] in some peculiar sense rather than in its strictly etymological meaning\") ; a technical expression in grammar ; (with Buddhists) perception (one of the 5 Skandhas) ; name of the Gāyatrī ; name of a particular high number ; name of a daughter of Tvaṣṭṛ or Viśvakarman"	"X"
"vividha"	"138685"	"of various sorts ; manifold ; divers"	"X"
"kṛ"	"156168"	"to make like or similar ; to consider equivalent ; to reduce anything to ; to cause to become ; to do ; to accomplish ; to prepare ; to make use of ; to compose ; to act ; das Nachdenken hinrichtend"	"X"
"evaṃvādin"	"200530"	"speaking in this way"	"X"
"vid"	"158058"	"to know ; to understand ; to learn ; to be conscious of ; to take for ; to mind ; to notice"	"X"
"pāṇḍaveya"	"93440"	"a son of Pāṇḍu ; = Pāṇḍava"	"X"
"idam"	"37876"	"this ; (near deictic pronoun in Vedic)"	"X"
"iti"	"63331"	"in this manner ; thus (in its original signification iti refers to something that has been said or thought) ; so ; [gramm.] the word iti"	"X"
"uta"	"55443"	"and ; also ; even ; or"	"X"
"abhijñāna"	"22190"	"remembrance ; recollection ; knowledge ; ascertainment ; a sign or token of remembrance ; any sign or token serving as a proof for"	"X"
"ābharaṇa"	"58897"	"decorating ; ornament ; decoration (as jewels etc.) ; name of several works (especially ifc.)"	"X"
"yojay"	"157989"	"to harness ; to yoke with (instr.) ; to put to ; to equip (an army) ; to draw up (troops) ; to use ; to employ ; to set to work ; to apply ; to undertake ; to carry on ; to perform ; to accomplish ; to urge or impel to ; to lead towards ; to help to ; to set (snares) ; to put or fix on (esp. arrows) ; to aim (arrows) at ; to fasten on or in ; to attack ; to adjust ; to add ; to insert ; to the conjunction of the moon with an asterism (instr.) ; to think little of ; to esteem lightly ; to despise ; to wish to appoint or institute"	"X"
"kauravya"	"133998"	"patr. from Kuru ; = pāṇḍavās ; name of a people ; name of a Nāga ; name of Bhīmasena"	"X"
"kāla"	"22761"	"time ; the proper time or season for ; eine Essenszeit"	"X"
"upasthā"	"160644"	"to stand or place one's self near ; to be present ; to stand by the side of ; to place one's self near ; to expose one's self to (with loc. or acc.) ; to place one's self before (in order to ask) ; to approach ; to apply to ; to come together or meet with ; to become friendly with ; to conciliate ; to lead towards (as a way) ; to go or betake one's self to ; to stand near in order to serve ; to attend ; to serve ; to attend on ; to worship ; to serve with ; to be of service or serviceable by ; to attend on with prayers ; to stand under (in order to support) ; to approach for assistance ; to be near at hand or at the disposal of ; to fall to one's share ; to come to the possession of ; to rise against ; to start ; to set out"	"X"
"dṛś"	"157766"	"to behold ; to look at ; to regard ; to consider ; to see ; to wait on ; to visit ; to see with the mind ; to learn ; to understand ; to notice ; to care for ; to look into ; to try ; to examine ; to see by divine intuition ; to think or find out ; to compose ; to contrive (hymns) ; to be seen ; to become visible ; to appear ; to be shown or manifested ; to appear as ; to prove"	"X"
"dhvaja"	"43317"	"a banner ; flag ; standard ; a flag-staff ; mark ; emblem ; ensign ; characteristic ; sign ; attribute of a deity ; the sign of any trade (esp. of a distillery or tavern) and the business there carried on ; a distiller or vendor of spirituous liquors ; the ornament of ; the organ of generation (of any animal) ; a skull carried on a staff (as a penance for the murder of a Brāhman) ; name of a tree ; a place prepared in a peculiar way for building ; (in Gr.) a particular kind of Kramapāṭha ; pride ; arrogance ; hypocrisy ; name of a Grāma ; (in pros.) an iambic ; (in astrol.) name of a Yoga"	"X"
"agra"	"5937"	"foremost point or part ; tip ; front ; uppermost part ; top ; summit ; surface ; point ; sharpness ; the nearest end ; the beginning ; the climax or best part ; goal ; aim ; multitude ; a weight equal to a pala ; a measure of food given as alms ; the sun's amplitude ; Blume (eines Getr￤nks, d.h. erster Schluck)"	"X"
"pārtha"	"94226"	"patr. of Tānva ; metron. of Yudhiṣṭhira ; name of a king of Kaśmīra (son of Paṅgu) and of another man ; the tree Terminalia Arjuna ; metron. of Bhīmasena ; metron. of Arjuna ; the Pāṇḍavas collectively"	"X"
"manas"	"36096"	"mind (in its widest sense as applied to all the mental powers) ; intellect ; intelligence ; understanding ; perception ; sense ; conscience ; will (in phil. the internal organ or antaḥ-karaṇa of perception and cognition) ; the spirit or spiritual principle ; the breath or living soul which escapes from the body at death (called asu in animals) ; thought ; imagination ; excogitation ; invention ; reflection ; opinion ; intention ; inclination ; affection ; desire ; mood ; temper ; spirit ; name of the 26th Kalpa ; name of the lake Mānasa"	"X"
"mahīpāla"	"78098"	"a king ; name of various princes"	"X"
"prativyūh"	"162645"	"to array one's self against (acc.) ; to draw up (an army) against"	"X"
"pāṇḍura"	"93445"	"whitish ; white ; pale ; yellow"	"X"
"ātapatra"	"57691"	"a large umbrella (of silk or leaves)"	"X"
"dhṛ"	"157616"	"to hold ; to bear ; to carry ; to maintain ; to preserve ; to keep ; to possess ; to have ; to use ; to employ ; to practise ; to undergo ; to conceive ; to be pregnant ; to inflict punishment on ; to let the hair or beard grow ; to fulfil a duty ; to observe or keep a vow ; to practise self-control ; to perform penance ; to bear on the head ; to honour highly ; to hold in a balance ; to weigh ; to measure ; to bear in mind ; to recollect ; to remember ; to hold to an agreement"	"X"
"mūrdhan"	"136454"	"the forehead ; head in general ; skull ; (fig.) the highest or first part of anything ; top ; point ; summit ; front (of battle) ; commencement ; beginning ; first ; chief (applied to persons) ; the base (in geom) ; (in gram.) the roof or top of the palate (as one of the 8 Sthanas or places of utterance) ; name of a state of spiritual exaltation"	"X"
"madhya"	"35810"	"the middle ; midst ; centre ; inside ; interior ; the middle of the sky ; space between ; midday ; the meridian ; intermediate condition between (gen.) ; the belly ; abdomen ; the flank of a horse ; (in music) mean time ; ten thousand billions ; cessation ; pause ; interval ; name of a country between Sindh and Hindūstan proper"	"X"
"nāga"	"33015"	"a snake ; Coluber Naga ; a Nāga or serpent-demon (the race of Kadru or Surasā inhabiting the waters or the city Bhogavatī under the earth) ; name of the numbers 7 or 8 ; a cruel man ; one of the 5 airs of the human body (which is expelled by eructation) ; the best or most excellent of any kind ; shark ; cloud ; name of several plants (Mesua Roxburghii, Rottlera Tinctoria etc.) ; name of a serpent-demon ; name of a Sādhya ; name of a teacher ; name of a dynasty of 9 or 10 princes ; name of several authors ; name of several other men ; name of a mountain ; name of a district ; an elephant"	"X"
"sahasra"	"111378"	"a thousandth ; the thousandth"	"X"
"bhrātṛ"	"26394"	"a brother ; [gramm.] the word 'bhrātṛ' ; relative"	"X"
"parivāray"	"172062"	"to surround ; to hold back ; to drive back (an aggressor)"	"X"
"duryodhana"	"85684"	"name of the eldest son of Dhṛtarāṣṭra ; name of a son of Sudurjaya ; name of a Rākṣasa"	"X"
"hṛṣ"	"159218"	"to thrill with rapture ; to rejoice ; to exult ; to be glad or pleased ; to become sexually excited ; to become erect or stiff or rigid ; to bristle (said of the hairs of the body etc.) ; to become on edge (like the teeth)"	"X"
"dham"	"157579"	"to blow ; to blow into ; to breathe out ; to exhale ; to kindle a fire by blowing ; to melt or manufacture (metal) by blowing ; to blow or cast away"	"X"
"śaṅkha"	"116387"	"a shell ; the conch-shell (used for making libations of water or as an ornament for the arms or for the temples of an elephant) ; a particular high number (said to = a hundred billions)"	"X"
"bherī"	"25919"	"a kettle-drum"	"X"
"han"	"157282"	"to strike ; to beat ; to pound ; to hammer ; to strike upon ; to smite ; to slay ; to hit ; to kill ; to mar ; to destroy ; to put to death ; to strike off ; to avert ; to hurt ; to wound ; (astron.) to come in contact ; to obstruct ; to hinder ; to repress ; to give up ; to abandon ; to have sex"	"X"
"tatas"	"95922"	"from that ; in consequence of that ; for that reason ; consequently ; then ; after that"	"X"
"prahṛṣ"	"163147"	"to rejoice ; to be glad or cheerful ; to exult"	"X"
"sva"	"114356"	"own ; one's own ; related ; akin"	"X"
"senā"	"99723"	"a missile ; dart ; spear ; name of Indra's wife (or his thunderbolt so personified) ; an army ; armament ; battle-array ; armed force ; a small army ; any drilled troop or band or body of men ; a kind of title or addition to the names of persons ; name of a courtesan (abridged from kuberasenā) ; name of the mother of Śambhava (the third Arhat of the present Avasarpiṇī)"	"X"
"abhivīkṣ"	"159011"	"to look at ; to view ; to perceive ; to examine ; to look upon as (nom.) ; to behave as (nom.) with regard to (acc.) ; to be affected towards"	"X"
"atha"	"7467"	"an auspicious and inceptive particle (not easily expressed in English) ; now ; then ; moreover ; rather ; certainly ; but ; else ; what? how else?"	"X"
"bhū"	"157250"	"to be ; to become ; to come into being ; to happen ; to occur ; to make up ; gedeihen"	"X"
"vāsudeva"	"47050"	"patr. of Kṛṣṇa ; name of a king of the Puṇḍras ; name of a class of beings peculiar to the Jainas ; a horse ; name of various kings and authors"	"X"
"vīryavat"	"168579"	"heroic ; manly ; possessed of strength"	"X"
"yodha"	"65230"	"a fighter ; warrior ; soldier ; battle ; war a kind of metre ; the third astrological mansion ; [agr.] a part of a plough"	"X"
"harṣay"	"159219"	"to excite ; to make impatient or eager for (victory etc.) ; to rejoice ; to be glad ; to cause to bristle"	"X"
"dhanaṃjaya"	"91609"	"fire ; a particular vital air supposed to nourish the body ; Plumbago Zeylanica ; name of Arjuna ; the 9th day of the Karmamāsa ; the plant Terminalia Arjuna ; name of a serpent-demon ; name of a Vyāsa / Vedavyāsa ; name of a king of Kaliṅga ; name of a king of Kausthalapura ; name of the author of the Dalarūpaka ; name of a merchant ; name of a Brāhman ; name of a son of Viśvāmitra"	"X"
