pa<br>rv	a<br>dhy	stro	text	stro_id	typ
VI	2	4	I rzekł Wjasa:<br>Królu, przeminął czas twoich synów i wszystkich innych królów. Napadną na siebie nawzajem w tej wojnie i zginą. A ty, wiedząc, że ich czas przeminął, że śmierć ich czeka, poznawszy obroty czasu, nie poddawaj się rozpaczy! (5) Jeśli chcesz zobaczyć ich w walce, przywrócę ci wzrok. Nuże, sam ją obejrzyj!	VI 2 4	p
VI	2	5	QQQ	VI 2 5	p
VI	2	6	QQQ	VI 2 6	p
VI	2	7	I rzekł Dhrytarasztra:<br>Nie mam ochoty oglądać tego mordu krewniaczego, o arcywieszczu! Ale ty masz moc, dzięki której mógłbym o nim co do joty posłuchać.	VI 2 7	p
VI	2	8	I rzekł Waiśampajana:<br>A ten, który spełnia życzenia, słysząc jego słowa, darem widzenia obdarzył Sańdźaję.	VI 2 8	p
VI	2	9	I rzekł Wjasa:<br>Ten oto Syn Gawalgany Sańdźaja, o królu, opowie ci o wojnie. Nic, co będzie się działo, nie ujdzie jego oku. Dostanie on, o królu, dar boskiego widzenia i opowie ci wojnę, będzie bowiem wiedział wszystko (10) — to, co widoczne i to, co ukryte, co nocą się dzieje albo we dnie, nawet to, o czym ludzie pomyślą — wszystkiego będzie on świadom. Nie przetnie go żaden pocisk, nie pokona go zmęczenie. Ten oto Syn Gawalgany żywy z tej wojny wyjdzie. A ja wszystkim wzdłuż i wszerz rozgłaszał będę sławę Kaurawów i Pandawów. Nie rozpaczaj, buhaju Bharatów! Wszystko to wcześniej wszak zostało już ustalone, dlatego nie warto się smucić. Nic nie da się już powstrzymać. Gdzie Prawo, tam zwycięstwo!	VI 2 9	p
VI	2	10	QQQ	VI 2 10	p
VI	2	11	QQQ	VI 2 11	p
VI	2	12	QQQ	VI 2 12	p
VI	2	13	QQQ	VI 2 13	p
VI	2	14	QQQ	VI 2 14	p
VI	2	15	I rzekł Waiśampayana:<br>Gdy błogosławiony pradziad rodu Kurów wyrzekł te słowa, dalej długorękiemu Dhrytarasztrze prawił: (15)	VI 2 15	p
VI	2	16	I rzekł Wjasa:<br>W tej wojnie, o wielki królu, nadejdzie wielka zagłada. Widzę bowiem przerażające omeny! Oto jastrzębie, sępy i kruki, czaple potężne całymi stadami czubki drzew obsiadają. Spodziewają się tej wojny potwornej, radują się na nią te ptaszyska trupożerne, co żywić się będą mięsem rumaków i słoni! Wielkie żurawie, krzycząc przeraźliwie, środkiem przestworza ku południowi lecą i grozę zwiastują. Cały czas widzę słońce otoczone bezgłowymi tułowiami (20) — o zmierzchu, gdy zachodzi i o świcie, gdy wschodzi, Bharato. Jego światło przesłania kawalkada chmur w trzech kolorach, biel i czerwień je okala, gardziele mają czarne, błyskawice nich się świecą. I widzę, jak słońce, księżyc i gwiazdozbiory dniem i nocą płoną jednako. To oznaka zagłady! A w noc pełni w miesiącu karttika , księżyca nie było widać, stracił swe światło i przybrał barwę ognia, którym się całe niebo świeciło. Zasną snem wiecznym bohaterscy mężni królowie, ich ciała ziemię pokryją — władcy i ich synowie mężni, o ramionach jak tarany potężnych. Słyszę, jak nocą przestwór wypełniają potworne odgłosy dzików i szczurów toczących ze sobą bój zaciekły. (25) Wizerunki bóstw to w dygot wpadają, to śmieją się, to krwią z ust wymiotują, spocone, na ziemię się walą. Grzmią bębny, w które nikt nie uderza, władco ludów, a wielkie rydwany wojowników jadą same, bez woźnicy. Kukułki stuskrzydłe, sójki, sępy, papugi, łabędzie i pawie straszne okrzyki wydają. Widać setki zbrojnych, niosących oręż, jadących konno, a świtaniem chmury szarańczy setkami się wznoszą. Zmrok i brzask w ogień spowite, rozświetlają przestwór, a deszcz płynie krwią i kośćmi, Bharato! (30) Słynna w całym trójświecie Arundhati, którą czczą święci, wzeszła, mając Wasiszthę za sobą, o królu! Nocny Wędrowiec (Saturn), zaćmiwszy Wzrastającą (Rohini), stoi w niebiosach. Odwrócił się znak księżyca. Oto wielka groza nadchodzi! Wciąż słychać, jak grzmoty potworne biją z nieba bezchmurnego, płaczą wierzchowce, a z ich oczu łzy płyną.	VI 2 16	p
VI	2	17	QQQ	VI 2 17	p
VI	2	18	QQQ	VI 2 18	p
VI	2	19	QQQ	VI 2 19	p
VI	2	20	QQQ	VI 2 20	p
VI	2	21	QQQ	VI 2 21	p
VI	2	22	QQQ	VI 2 22	p
VI	2	23	QQQ	VI 2 23	p
VI	2	24	QQQ	VI 2 24	p
VI	2	25	QQQ	VI 2 25	p
VI	2	26	QQQ	VI 2 26	p
VI	2	27	QQQ	VI 2 27	p
VI	2	28	QQQ	VI 2 28	p
VI	2	29	QQQ	VI 2 29	p
VI	2	30	QQQ	VI 2 30	p
VI	2	31	QQQ	VI 2 31	p
VI	2	32	QQQ	VI 2 32	p
VI	2	33	QQQ	VI 2 33	p
VI	3	1	I rzekł Wjasa:<br>Krowy osły rodzą. Synowie z matkami spółkują. W lasach drzewa rozkwitają i wydają owoce, choć ich czas nie nadszedł. Brzemienne córki królów potwory na świat wydają, trupożerne ptaki, szakale i inne bestie. Z trzema rogami, czterookie, o pięciu nogach i dwóch penisach, dwugłowe, z ogonami dwoma, zębate złowrogie stworzenia rodzą się z rozwartym pyskiem, zatrważające krzyki wydają, na trzech nogach, z grzebieniem jak kogut, z czterema kłami, rogate. A w twoim mieście widziano żony braminów, które rodziły ptaki drapieżne i pawie. (5) Oślica rodzi cielątko, suka — szakala, panie plemion, koguty, majny i papugi, co wieszczą nieszczęście. Niektóre kobiety rodzą po cztery lub po pięć córek, które zaraz po narodzinach tańczą, śmiejąc się, śpiewają. Nikczemnicy niskiego rodu piją z piersi w złodziejskich przybytkach, pląsają wśród śpiewów, pieśni zawodzą, wielkie niebezpieczeństwo wieszcząc. Dzieci, przez Czas ponaglane, rysują postacie z bronią, wzajemnie siebie gonią z kijami w rękach, pełne chęci do walki oblegają swoje twierdze. Na drzewach lotosy kwitną, błękitne i czerwone, a wichry wieją we wszystkie strony, aż kurzawa osiąść nie może. (10)<br>Ziemię wszystkie jej płody naraz pokrywają, w girlandy owoców spowitą. Jęczmień rodzi ziarno pięć razy w roku, a ryż — sto razy. Krowy — podpora całego świata, który na nich się wspiera — doją się krwią, gdy ssą je cielęta. Miecze same wychodzą z pochwy, świecąc się niepomiernie, a broń widomie jest już gotowa do walki. (20) Oręż, pancerze, sztandary błyskają jak ogień krwawo, jak woda migocą. Wielka zagłada nadchodzi! Zwierzęta i ptactwo lecą po wszystkich stronach świata, ich paszcze i dzioby płoną, krzyczą przeraźliwie, zgubę wieszcząc i wielką grozę zapowiadając. A nocą niebem leci ptak z jednym skrzydłem, jednym okiem i jedną nogą, z przerażającym wrzaskiem, wściekły, krwią blwając raz za razem.<br>Kurz pokrył wszystkie strony świata od deszczy, co pyłem padają. Wznoszą się chmury potworne, nocami deszcz krwi niosące. (30) A czternastej nocy ciemnej połowy miesiąca rzęsista ulewa mięsa spadła. O północy rakszasy sycić się nim poczęły straszliwie. Rzeki płyną pod prąd, ich strumienie pełne są krwi, studnie się pienią, niczym byki ryczą. Lecą w dół meteory z okropnym łoskotem, zmieszane z suchymi kamieniami. I dzisiaj, gdy noc odeszła, nie nastało światło wraz ze wschodem słońca. Wielcy wieszczowie z płonącymi pochodniami z czterech stron świata, cześć słońcu oddając, głoszą: „Oto ziemia pić będzie krew tysięcy jej władców!”<br>Słychać łoskot tysiąckrotny gór Kajlasa, Mandara i Himawantu, gdy ich szczyty się zapadają. (35) Zatrzęsła się ziemia, wielkie żywioły podniosły granice czterech oceanów, kołyszą nimi bez ustanku. Straszne wichry wieją, drzewa wyrywając, walą się na ziemię po wsiach i miastach, pod uderzeniami gromów. Gdy bramini ogień rozpalają, pali się na żółto, krwawo, niebiesko, płomień kieruje na lewo, pachnie trupem, dymi mocno, huczy okrutnie. Dotyki, zapachy i smaki czujemy na odwrót, władco ziemi! Dymią sztandary królów, łopocą bez przerwy, a bębny i kotły deszczem węgli sypią. Sępy straszne obsiadają szczyty świętych drzew i bramy miast, kołując w lewą stronę. (40) I ptactwo, nieznośnie skrzecząc pa-kka! pa-kka!, obsiada szczyty godeł na zgubę królów. Tysiące rumaków i słoni głowy mają spuszczone w rozpaczy, włosy z ogonów im wypadają, całe się trzęsą, rżąc i porykując.<br>A teraz, gdyś usłyszał, o panie, że czas nadchodzi, podejmij decyzję taką, by świat nie uległ zagładzie, o Bharato!	VI 3 1	p
VI	3	2	QQQ	VI 3 2	p
VI	3	3	QQQ	VI 3 3	p
VI	3	4	QQQ	VI 3 4	p
VI	3	5	QQQ	VI 3 5	p
VI	3	6	QQQ	VI 3 6	p
VI	3	7	QQQ	VI 3 7	p
VI	3	8	QQQ	VI 3 8	p
VI	3	9	QQQ	VI 3 9	p
VI	3	10	QQQ	VI 3 10	p
VI	3	11	QQQ	VI 3 11	p
VI	3	12	QQQ	VI 3 12	p
VI	3	13	QQQ	VI 3 13	p
VI	3	14	QQQ	VI 3 14	p
VI	3	15	QQQ	VI 3 15	p
VI	3	16	QQQ	VI 3 16	p
VI	3	17	QQQ	VI 3 17	p
VI	3	18	QQQ	VI 3 18	p
VI	3	19	QQQ	VI 3 19	p
VI	3	20	QQQ	VI 3 20	p
VI	3	21	QQQ	VI 3 21	p
VI	3	22	QQQ	VI 3 22	p
VI	3	23	QQQ	VI 3 23	p
VI	3	24	QQQ	VI 3 24	p
VI	3	25	QQQ	VI 3 25	p
VI	3	26	QQQ	VI 3 26	p
VI	3	27	QQQ	VI 3 27	p
VI	3	28	QQQ	VI 3 28	p
VI	3	29	QQQ	VI 3 29	p
VI	3	30	QQQ	VI 3 30	p
VI	3	31	QQQ	VI 3 31	p
VI	3	32	QQQ	VI 3 32	p
VI	3	33	QQQ	VI 3 33	p
VI	3	34	QQQ	VI 3 34	p
VI	3	35	QQQ	VI 3 35	p
VI	3	36	QQQ	VI 3 36	p
VI	3	37	QQQ	VI 3 37	p
VI	3	38	QQQ	VI 3 38	p
VI	3	39	QQQ	VI 3 39	p
VI	3	40	QQQ	VI 3 40	p
VI	3	41	QQQ	VI 3 41	p
VI	3	42	QQQ	VI 3 42	p
VI	3	43	QQQ	VI 3 43	p
VI	3	44	I rzekł Waiśampayana:<br>Rozważywszy słowa ojca, Dhrytarasztra mu odparł:<br>— Myślę, że to już dawno postanowiono! Nie mam tu żadnych wątpliwości! (45) Jeśli wojownicy giną w walce zgodnie z kodeksem rycerskim, idą do świata bohaterów i szczęście jedynie jest im pisane. Zdobywają sławę tutaj i na tamtym świecie oraz wielkie szczęście długotrwałe, owe tygrysy ludzi, jeśli oddadzą życie w wielkiej walce.	VI 3 44	p
VI	3	45	QQQ	VI 3 45	p
VI	3	46	QQQ	VI 3 46	p
VI	4	1	do zrobienia<br>	VI 4 1	
VI	4	2	do zrobienia<br>	VI 4 2	
VI	4	3	do zrobienia<br>	VI 4 3	
VI	4	4	do zrobienia<br>	VI 4 4	
VI	4	5	do zrobienia<br>	VI 4 5	
VI	4	6	do zrobienia<br>	VI 4 6	
VI	4	7	do zrobienia<br>	VI 4 7	
VI	4	8	do zrobienia<br>	VI 4 8	
VI	4	9	do zrobienia<br>	VI 4 9	
VI	4	10	do zrobienia<br>	VI 4 10	
VI	4	11	do zrobienia<br>	VI 4 11	
VI	4	12	do zrobienia<br>	VI 4 12	
VI	4	13	do zrobienia<br>	VI 4 13	
VI	4	14	do zrobienia<br>	VI 4 14	
VI	4	15	do zrobienia<br>	VI 4 15	
VI	4	16	do zrobienia<br>	VI 4 16	
VI	4	17	do zrobienia<br>	VI 4 17	
VI	4	18	do zrobienia<br>	VI 4 18	
VI	4	19	do zrobienia<br>	VI 4 19	
VI	4	20	do zrobienia<br>	VI 4 20	
VI	4	21	do zrobienia<br>	VI 4 21	
VI	4	22	do zrobienia<br>	VI 4 22	
VI	4	23	do zrobienia<br>	VI 4 23	
VI	4	24	do zrobienia<br>	VI 4 24	
VI	4	25	do zrobienia<br>	VI 4 25	
VI	4	26	do zrobienia<br>	VI 4 26	
VI	4	27	do zrobienia<br>	VI 4 27	
VI	4	28	do zrobienia<br>	VI 4 28	
VI	4	29	do zrobienia<br>	VI 4 29	
VI	4	30	do zrobienia<br>	VI 4 30	
VI	4	31	do zrobienia<br>	VI 4 31	
VI	4	32	do zrobienia<br>	VI 4 32	
VI	4	33	do zrobienia<br>	VI 4 33	
VI	4	34	do zrobienia<br>	VI 4 34	
VI	4	35	do zrobienia<br>	VI 4 35	
VI	5	1	do zrobienia<br>	VI 5 1	
VI	5	2	do zrobienia<br>	VI 5 2	
VI	5	3	do zrobienia<br>	VI 5 3	
VI	5	4	do zrobienia<br>	VI 5 4	
VI	5	5	do zrobienia<br>	VI 5 5	
VI	5	6	do zrobienia<br>	VI 5 6	
VI	5	7	do zrobienia<br>	VI 5 7	
VI	5	8	do zrobienia<br>	VI 5 8	
VI	5	9	do zrobienia<br>	VI 5 9	
VI	5	10	do zrobienia<br>	VI 5 10	
VI	5	11	do zrobienia<br>	VI 5 11	
VI	5	12	do zrobienia<br>	VI 5 12	
VI	5	13	do zrobienia<br>	VI 5 13	
VI	5	14	do zrobienia<br>	VI 5 14	
VI	5	15	do zrobienia<br>	VI 5 15	
VI	5	16	do zrobienia<br>	VI 5 16	
VI	5	17	do zrobienia<br>	VI 5 17	
VI	5	18	do zrobienia<br>	VI 5 18	
VI	5	19	do zrobienia<br>	VI 5 19	
VI	5	20	do zrobienia<br>	VI 5 20	
VI	5	21	do zrobienia<br>	VI 5 21	
VI	6	1	do zrobienia<br>	VI 6 1	
VI	6	2	do zrobienia<br>	VI 6 2	
VI	6	3	do zrobienia<br>	VI 6 3	
VI	6	4	do zrobienia<br>	VI 6 4	
VI	6	5	do zrobienia<br>	VI 6 5	
VI	6	6	do zrobienia<br>	VI 6 6	
VI	6	7	do zrobienia<br>	VI 6 7	
VI	6	8	do zrobienia<br>	VI 6 8	
VI	6	9	do zrobienia<br>	VI 6 9	
VI	6	10	do zrobienia<br>	VI 6 10	
VI	6	11	do zrobienia<br>	VI 6 11	
VI	6	12	do zrobienia<br>	VI 6 12	
VI	6	13	do zrobienia<br>	VI 6 13	
VI	6	14	do zrobienia<br>	VI 6 14	
VI	6	15	do zrobienia<br>	VI 6 15	
VI	6	16	do zrobienia<br>	VI 6 16	
VI	7	1	do zrobienia<br>	VI 7 1	
VI	7	2	do zrobienia<br>	VI 7 2	
VI	7	3	do zrobienia<br>	VI 7 3	
VI	7	4	do zrobienia<br>	VI 7 4	
VI	7	5	do zrobienia<br>	VI 7 5	
VI	7	6	do zrobienia<br>	VI 7 6	
VI	7	7	do zrobienia<br>	VI 7 7	
VI	7	8	do zrobienia<br>	VI 7 8	
VI	7	9	do zrobienia<br>	VI 7 9	
VI	7	10	do zrobienia<br>	VI 7 10	
VI	7	11	do zrobienia<br>	VI 7 11	
VI	7	12	do zrobienia<br>	VI 7 12	
VI	7	13	do zrobienia<br>	VI 7 13	
VI	7	14	do zrobienia<br>	VI 7 14	
VI	7	15	do zrobienia<br>	VI 7 15	
VI	7	16	do zrobienia<br>	VI 7 16	
VI	7	17	do zrobienia<br>	VI 7 17	
VI	7	18	do zrobienia<br>	VI 7 18	
VI	7	19	do zrobienia<br>	VI 7 19	
VI	7	20	do zrobienia<br>	VI 7 20	
VI	7	21	do zrobienia<br>	VI 7 21	
VI	7	22	do zrobienia<br>	VI 7 22	
VI	7	23	do zrobienia<br>	VI 7 23	
VI	7	24	do zrobienia<br>	VI 7 24	
VI	7	25	do zrobienia<br>	VI 7 25	
VI	7	26	do zrobienia<br>	VI 7 26	
VI	7	27	do zrobienia<br>	VI 7 27	
VI	7	28	do zrobienia<br>	VI 7 28	
VI	7	29	do zrobienia<br>	VI 7 29	
VI	7	30	do zrobienia<br>	VI 7 30	
VI	7	31	do zrobienia<br>	VI 7 31	
VI	7	32	do zrobienia<br>	VI 7 32	
VI	7	33	do zrobienia<br>	VI 7 33	
VI	7	34	do zrobienia<br>	VI 7 34	
VI	7	35	do zrobienia<br>	VI 7 35	
VI	7	36	do zrobienia<br>	VI 7 36	
VI	7	37	do zrobienia<br>	VI 7 37	
VI	7	38	do zrobienia<br>	VI 7 38	
VI	7	39	do zrobienia<br>	VI 7 39	
VI	7	40	do zrobienia<br>	VI 7 40	
VI	7	41	do zrobienia<br>	VI 7 41	
VI	7	42	do zrobienia<br>	VI 7 42	
VI	7	43	do zrobienia<br>	VI 7 43	
VI	7	44	do zrobienia<br>	VI 7 44	
VI	7	45	do zrobienia<br>	VI 7 45	
VI	7	46	do zrobienia<br>	VI 7 46	
VI	7	47	do zrobienia<br>	VI 7 47	
VI	7	48	do zrobienia<br>	VI 7 48	
VI	7	49	do zrobienia<br>	VI 7 49	
VI	7	50	do zrobienia<br>	VI 7 50	
VI	7	51	do zrobienia<br>	VI 7 51	
VI	7	52	do zrobienia<br>	VI 7 52	
VI	7	53	do zrobienia<br>	VI 7 53	
VI	8	1	do zrobienia<br>	VI 8 1	
VI	8	2	do zrobienia<br>	VI 8 2	
VI	8	3	do zrobienia<br>	VI 8 3	
VI	8	4	do zrobienia<br>	VI 8 4	
VI	8	5	do zrobienia<br>	VI 8 5	
VI	8	6	do zrobienia<br>	VI 8 6	
VI	8	7	do zrobienia<br>	VI 8 7	
VI	8	8	do zrobienia<br>	VI 8 8	
VI	8	9	do zrobienia<br>	VI 8 9	
VI	8	10	do zrobienia<br>	VI 8 10	
VI	8	11	do zrobienia<br>	VI 8 11	
VI	8	12	do zrobienia<br>	VI 8 12	
VI	8	13	do zrobienia<br>	VI 8 13	
VI	8	14	do zrobienia<br>	VI 8 14	
VI	8	15	do zrobienia<br>	VI 8 15	
VI	8	16	do zrobienia<br>	VI 8 16	
VI	8	17	do zrobienia<br>	VI 8 17	
VI	8	18	do zrobienia<br>	VI 8 18	
VI	8	19	do zrobienia<br>	VI 8 19	
VI	8	20	do zrobienia<br>	VI 8 20	
VI	8	21	do zrobienia<br>	VI 8 21	
VI	8	22	do zrobienia<br>	VI 8 22	
VI	8	23	do zrobienia<br>	VI 8 23	
VI	8	24	do zrobienia<br>	VI 8 24	
VI	8	25	do zrobienia<br>	VI 8 25	
VI	8	26	do zrobienia<br>	VI 8 26	
VI	8	27	do zrobienia<br>	VI 8 27	
VI	8	28	do zrobienia<br>	VI 8 28	
VI	8	29	do zrobienia<br>	VI 8 29	
VI	8	30	do zrobienia<br>	VI 8 30	
VI	8	31	do zrobienia<br>	VI 8 31	
VI	9	1	do zrobienia<br>	VI 9 1	
VI	9	2	do zrobienia<br>	VI 9 2	
VI	9	3	do zrobienia<br>	VI 9 3	
VI	9	4	do zrobienia<br>	VI 9 4	
VI	9	5	do zrobienia<br>	VI 9 5	
VI	9	6	do zrobienia<br>	VI 9 6	
VI	9	7	do zrobienia<br>	VI 9 7	
VI	9	8	do zrobienia<br>	VI 9 8	
VI	9	9	do zrobienia<br>	VI 9 9	
VI	9	10	do zrobienia<br>	VI 9 10	
VI	9	11	do zrobienia<br>	VI 9 11	
VI	9	12	do zrobienia<br>	VI 9 12	
VI	9	13	do zrobienia<br>	VI 9 13	
VI	9	14	do zrobienia<br>	VI 9 14	
VI	9	15	do zrobienia<br>	VI 9 15	
VI	9	16	do zrobienia<br>	VI 9 16	
VI	9	17	do zrobienia<br>	VI 9 17	
VI	9	18	do zrobienia<br>	VI 9 18	
VI	9	19	do zrobienia<br>	VI 9 19	
VI	9	20	do zrobienia<br>	VI 9 20	
VI	9	21	do zrobienia<br>	VI 9 21	
VI	10	1	do zrobienia<br>	VI 10 1	
VI	10	2	do zrobienia<br>	VI 10 2	
VI	10	3	do zrobienia<br>	VI 10 3	
VI	10	4	do zrobienia<br>	VI 10 4	
VI	10	5	do zrobienia<br>	VI 10 5	
VI	10	6	do zrobienia<br>	VI 10 6	
VI	10	7	do zrobienia<br>	VI 10 7	
VI	10	8	do zrobienia<br>	VI 10 8	
VI	10	9	do zrobienia<br>	VI 10 9	
VI	10	10	do zrobienia<br>	VI 10 10	
VI	10	11	do zrobienia<br>	VI 10 11	
VI	10	12	do zrobienia<br>	VI 10 12	
VI	10	13	do zrobienia<br>	VI 10 13	
VI	10	14	do zrobienia<br>	VI 10 14	
VI	10	15	do zrobienia<br>	VI 10 15	
VI	10	16	do zrobienia<br>	VI 10 16	
VI	10	17	do zrobienia<br>	VI 10 17	
VI	10	18	do zrobienia<br>	VI 10 18	
VI	10	19	do zrobienia<br>	VI 10 19	
VI	10	20	do zrobienia<br>	VI 10 20	
VI	10	21	do zrobienia<br>	VI 10 21	
VI	10	22	do zrobienia<br>	VI 10 22	
VI	10	23	do zrobienia<br>	VI 10 23	
VI	10	24	do zrobienia<br>	VI 10 24	
VI	10	25	do zrobienia<br>	VI 10 25	
VI	10	26	do zrobienia<br>	VI 10 26	
VI	10	27	do zrobienia<br>	VI 10 27	
VI	10	28	do zrobienia<br>	VI 10 28	
VI	10	29	do zrobienia<br>	VI 10 29	
VI	10	30	do zrobienia<br>	VI 10 30	
VI	10	31	do zrobienia<br>	VI 10 31	
VI	10	32	do zrobienia<br>	VI 10 32	
VI	10	33	do zrobienia<br>	VI 10 33	
VI	10	34	do zrobienia<br>	VI 10 34	
VI	10	35	do zrobienia<br>	VI 10 35	
VI	10	36	do zrobienia<br>	VI 10 36	
VI	10	37	do zrobienia<br>	VI 10 37	
VI	10	38	do zrobienia<br>	VI 10 38	
VI	10	39	do zrobienia<br>	VI 10 39	
VI	10	40	do zrobienia<br>	VI 10 40	
VI	10	41	do zrobienia<br>	VI 10 41	
VI	10	42	do zrobienia<br>	VI 10 42	
